Impact,Test Title,Test URL,Screenshot URL,Help URL,Rule ID,Description,Help,,,Manual,Needs Review,IGT,Selector,Summary,Source Code,Tags,Found By,Share URL,Created At,Country,Brand,Unique string identifier,Unique ID
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/fd7c0e2a-f9c1-4774-88aa-f7f195a27a9a,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(1)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/d2458078-b95e-403b-ae99-bebf9d06d412,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(1)""]LAYA - Clinic locations accordians",763
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/43cc1596-9155-49f4-ae1d-ef2ed0eca714,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(2)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/f8368f71-d5ce-4a33-b330-a7afd92c8669,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(2)""]LAYA - Clinic locations accordians",764
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/adc6fb56-fcc7-45c5-9bb1-c19ff13567b9,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(3)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/7c6e4258-558f-4b11-b8ba-f1e0bf37f79a,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(3)""]LAYA - Clinic locations accordians",765
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/3d8b8d13-01fc-41f4-ac4a-997e81ef01d8,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(4)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/55ce51ff-5b0c-458f-b876-c0f918324832,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(4)""]LAYA - Clinic locations accordians",766
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/6bbc8a0f-2016-40cb-aeab-f8d6e368c191,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(5)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/638e782d-78aa-411b-8019-e0473ab267f4,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(5)""]LAYA - Clinic locations accordians",767
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/c8ef0ae1-cc12-41fc-927f-3316a91fd31d,https://docs.deque.com/issue-help/1.0.0/en/aria-role-missing,aria-role-missing,The element's role is missing or is not appropriate for the element's function.,Role: The element's role is missing or incorrect,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(6)""]",The element's role is missing or is not appropriate for the element's function.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/8173e965-09c3-44bb-8b6d-026ebe02e638,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-role-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(6)""]LAYA - Clinic locations accordians",768
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/fd7c0e2a-f9c1-4774-88aa-f7f195a27a9a,https://docs.deque.com/issue-help/1.0.0/en/aria-state-property-missing,aria-state-property-missing,The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,States/Properties: The element has missing or incorrect states or properties,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(1)""]",The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/97792b2f-4e77-4b81-9c5b-b0ccd7f070f3,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-state-property-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(1)""]LAYA - Clinic locations accordians",1031
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/43cc1596-9155-49f4-ae1d-ef2ed0eca714,https://docs.deque.com/issue-help/1.0.0/en/aria-state-property-missing,aria-state-property-missing,The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,States/Properties: The element has missing or incorrect states or properties,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(2)""]",The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/8595deb5-80e3-49d9-89f5-bc635ba0a262,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-state-property-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(2)""]LAYA - Clinic locations accordians",1032
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/adc6fb56-fcc7-45c5-9bb1-c19ff13567b9,https://docs.deque.com/issue-help/1.0.0/en/aria-state-property-missing,aria-state-property-missing,The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,States/Properties: The element has missing or incorrect states or properties,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(3)""]",The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/1f75e045-b979-481e-b200-8c3cf0bed1e9,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-state-property-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(3)""]LAYA - Clinic locations accordians",1033
critical,LAYA - Clinic locations accordians,https://www.layahealthcare.ie/clinics/locations/#/locations,https://axe-eu.deque.com/api/screenshots/3d8b8d13-01fc-41f4-ac4a-997e81ef01d8,https://docs.deque.com/issue-help/1.0.0/en/aria-state-property-missing,aria-state-property-missing,The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,States/Properties: The element has missing or incorrect states or properties,,,Yes,No,Interactive Elements,"[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(4)""]",The element has missing or incorrect states or properties that are necessary for screen reader users to interact with or understand the content conveyed by the element.,"<li class=""l-faq__list__item"">","wcag2a,EN-301-549,wcag412b,EN-9.4.1.2",mark.rossiter@axa-uk.co.uk,https://axe-eu.deque.com/issues/76a148b1-1428-4af7-b526-c68060f3d6a5,2025-03-20T11:17:16.930Z,Ireland,Laya,"aria-state-property-missing[""body > div#faq-app.container.mt-2:nth-of-type(4) > section.l-faq:nth-of-type(1) > ul.l-faq__list:nth-of-type(1) > li.l-faq__list__item:nth-of-type(4)""]LAYA - Clinic locations accordians",1034
